		total_cases	new_cases	new_cases_smoothed	total_deaths	new_deaths	new_deaths_smoothed	total_cases_per_million	new_cases_per_million	new_cases_smoothed_per_million	total_deaths_per_million	new_deaths_per_million	new_deaths_smoothed_per_million	reproduction_rate	icu_patients	icu_patients_per_million	hosp_patients	hosp_patients_per_million	weekly_icu_admissions	weekly_icu_admissions_per_million	weekly_hosp_admissions	weekly_hosp_admissions_per_million	new_tests	total_tests	total_tests_per_thousand	new_tests_per_thousand	new_tests_smoothed	new_tests_smoothed_per_thousand	positive_rate	tests_per_case	total_vaccinations	people_vaccinated	people_fully_vaccinated	new_vaccinations	new_vaccinations_smoothed	total_vaccinations_per_hundred	people_vaccinated_per_hundred	people_fully_vaccinated_per_hundred	new_vaccinations_smoothed_per_million	stringency_index	population	population_density	median_age	aged_65_older	aged_70_older	gdp_per_capita	extreme_poverty	cardiovasc_death_rate	diabetes_prevalence	female_smokers	male_smokers	handwashing_facilities	hospital_beds_per_thousand	life_expectancy	human_development_index	
weekly_hosp_admissions_per_million	20720.730	95.980	166.847	409.105	-0.074	2.424	246.350	1.189	2.433	4.039	0.012	0.034	0.002	2.839	0.084	18.400	0.799	1.390	0.088	23.868	203.824	79057.471	2.474	0.004	500.274	0.017	0.000	-0.336	2577.536	1656.855	225.943	47.681	182.373	0.003	0.002	0.000	2.372	0.108	-2828595.221	-0.850	-0.023	-0.017	-0.013	-52.637	0.046	0.589	0.009	-0.011	-0.020	0.050	-0.004	0.028	0.000	
new_tests	38.950	0.312	0.301	0.857	0.005	0.004	0.454	0.004	0.004	0.008	0.000	0.000	0.000	0.005	0.000	0.031	0.001	0.000	0.000	0.000	0.000	136.211	0.005	0.000	1.046	0.000	0.000	0.000	6.158	3.920	0.560	0.373	0.395	0.000	0.000	0.000	0.005	0.000	-6781.575	-0.002	-0.000	-0.000	-0.000	-0.135	0.000	0.001	0.000	-0.000	-0.000	0.000	-0.000	0.000	0.000	
total_tests	0.301	0.002	0.002	0.006	0.000	0.000	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006	0.000	0.000	0.007	0.000	0.000	0.000	0.076	0.047	0.008	0.004	0.004	0.000	0.000	0.000	0.000	0.000	-33.766	-0.000	-0.000	-0.000	-0.000	-0.001	0.000	0.000	0.000	-0.000	-0.000	0.000	-0.000	0.000	0.000	
total_tests_per_thousand	8828.187	58.509	59.625	182.992	0.954	0.955	105.310	0.803	0.810	1.828	0.012	0.012	0.000	0.983	0.025	6.571	0.257	0.024	0.002	0.388	0.021	175.652	29129.099	0.007	196.618	0.007	0.000	0.036	2340.941	1444.783	264.928	120.597	133.250	0.003	0.002	0.000	1.654	0.006	-1001799.844	-0.334	-0.009	-0.007	-0.005	-20.758	0.019	0.218	0.003	-0.005	-0.008	0.018	-0.002	0.009	0.000	
new_tests_per_thousand	1170290.803	8120.677	7965.241	24363.202	141.872	129.015	13959.646	112.571	108.260	243.183	1.720	1.574	0.032	133.903	3.357	893.071	34.352	0.309	0.106	2.836	0.772	25228.554	3853839.091	132.620	26398.189	0.962	0.000	7.330	323201.095	199621.917	36513.838	16864.434	18212.111	0.405	0.273	0.058	224.327	2.018	-142916551.302	-47.172	-1.283	-0.934	-0.697	-2926.734	2.629	30.737	0.419	-0.687	-1.071	2.500	-0.215	1.274	0.000	
new_tests_smoothed	37.572	0.285	0.287	0.825	0.004	0.004	0.438	0.004	0.004	0.008	0.000	0.000	0.000	0.004	0.000	0.029	0.001	0.000	0.000	0.002	0.000	0.902	131.068	0.004	0.000	0.000	0.000	0.000	6.298	3.978	0.613	0.351	0.396	0.000	0.000	0.000	0.005	0.000	-6389.567	-0.002	-0.000	-0.000	-0.000	-0.128	0.000	0.001	0.000	-0.000	-0.000	0.000	-0.000	0.000	0.000	
new_tests_smoothed_per_thousand	1207554.205	8075.855	8245.933	25187.056	132.581	132.586	14379.046	110.765	111.961	250.562	1.649	1.617	0.032	135.664	3.422	904.899	35.165	3.336	0.311	53.195	2.916	24637.974	4003455.807	137.424	0.934	27556.098	0.000	8.133	326758.801	201191.064	37112.180	16736.160	18497.591	0.411	0.276	0.059	228.990	1.873	-146724936.397	-48.585	-1.324	-0.963	-0.719	-3016.442	2.712	31.620	0.430	-0.711	-1.104	2.570	-0.221	1.302	0.000	
positive_rate	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
tests_per_case	-77.783	-0.884	0.063	18.866	0.082	0.126	-1.546	-0.050	-0.045	0.126	-0.001	-0.001	-0.000	0.001	-0.004	0.012	-0.030	-0.009	-0.000	-0.138	-0.005	29.265	1287.985	0.063	0.001	33.062	0.001	0.000	554.037	313.057	83.008	18.822	20.707	0.001	0.000	0.000	0.244	0.102	-1037528.866	-0.409	-0.008	-0.005	-0.004	-17.204	0.017	0.169	0.001	-0.003	-0.006	0.013	-0.002	0.005	-0.000	
total_vaccinations	1.264	0.004	0.004	0.025	0.000	0.000	0.016	0.000	0.000	0.000	0.000	0.000	-0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.011	3.037	0.000	0.000	0.013	0.000	0.000	0.000	0.586	0.144	0.044	0.045	0.000	0.000	0.000	0.001	-0.000	-64.369	-0.000	-0.000	-0.000	-0.000	-0.001	0.000	0.000	0.000	-0.000	-0.000	0.000	-0.000	0.000	-0.000	
people_vaccinated	2.211	0.007	0.008	0.043	0.000	0.000	0.028	0.000	0.000	0.000	0.000	0.000	-0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.020	5.421	0.000	0.000	0.024	0.000	0.000	0.000	1.690	0.240	0.074	0.078	0.000	0.000	0.000	0.001	-0.000	-113.213	-0.000	-0.000	-0.000	-0.000	-0.003	0.000	0.000	0.000	-0.000	-0.000	0.000	-0.000	0.000	-0.000	
people_fully_vaccinated	7.272	0.018	0.021	0.144	0.001	0.001	0.091	0.000	0.000	0.002	0.000	0.000	-0.000	0.000	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.046	15.387	0.001	0.000	0.058	0.000	0.000	0.000	6.559	3.808	0.268	0.280	0.000	0.000	0.000	0.003	-0.000	-359.289	-0.000	-0.000	-0.000	-0.000	-0.008	0.000	0.000	0.000	-0.000	-0.000	0.000	-0.000	0.000	-0.000	
new_vaccinations	28.319	0.108	0.112	0.554	0.003	0.003	0.352	0.002	0.002	0.006	0.000	0.000	-0.000	0.002	0.000	0.013	0.000	0.000	0.000	0.000	0.000	0.308	73.097	0.003	0.000	0.336	0.000	0.000	0.000	20.147	11.809	2.704	0.948	0.000	0.000	0.000	0.011	-0.000	-1478.586	-0.001	-0.000	-0.000	-0.000	-0.033	0.000	0.000	0.000	-0.000	-0.000	0.000	-0.000	0.000	-0.000	
new_vaccinations_smoothed	30.547	0.113	0.124	0.597	0.003	0.003	0.380	0.002	0.002	0.007	0.000	0.000	-0.000	0.002	0.000	0.015	0.001	0.000	0.000	0.001	0.000	0.324	80.332	0.003	0.000	0.376	0.000	0.000	0.000	20.711	12.362	2.805	0.941	0.000	0.000	0.000	0.012	-0.000	-1609.055	-0.001	-0.000	-0.000	-0.000	-0.036	0.000	0.000	0.000	-0.000	-0.000	0.000	-0.000	0.000	-0.000	
